Designator,Mid X,Mid Y,Rotation,Layer
SW3,216.575671,-133.917594,90.0,top
SW4,207.375671,-124.717594,90.0,top
SW5,225.975671,-124.717594,90.0,top
SW6,194.536001,-109.0288,90.0,top
SW7,194.536001,-93.7788,90.0,top
SW9,237.575671,-93.717594,90.0,top
U1,59.324999,-79.6,90.0,bottom
U10,77.819399,-74.6813,180.0,bottom
U12,80.6608,-98.5322,90.0,bottom
U2,67.4078,-115.730807,0.0,bottom
U3,143.096001,-79.5828,270.0,bottom
U4,198.716001,-75.5538,0.0,bottom
U5,94.5038,-81.692,270.0,bottom
U6,94.5038,-115.728,270.0,bottom
U7,95.5578,-61.796806,0.0,bottom
U8,151.097001,-98.9884,90.0,bottom
U9,56.2,-111.2,180.0,bottom
