C20:1
C9:1
G***:1
J5:1
J6:1
LS1:1
Q2:1
R23:1
R26:1
R27:1
R28:1
R45:1
SM3:1
SW10:1
SW11:1
SW12:1
SW2:1
SW3:1
SW4:1
SW5:1
SW9:1
U9:1
